I(A);P(mW);error I (A);error P (mW)
0.20;0.90;0.1;1
0.42;0.95;0.1;1
0.61;0.93;0.1;1
0.81;0.91;0.1;1
1.01;0.92;0.1;1
1.21;0.95;0.1;1
1.41;0.99;0.1;1
1.61;1.40;0.1;1
1.64;3.9;0.1;1
1.68;7;0.1;1
1.71;9.50;0.1;1
1.75;13.69;0.1;1
1.80;18.51;0.1;1
1.85;25;0.1;1
1.90;30.5;0.1;1
1.95;33.5;0.1;1
2.00;34.7;0.1;1
2.05;34.5;0.1;1
2.10;33.4;0.1;1
2.15;31.8;0.1;1
2.20;29.1;0.1;1
2.25;36.5;0.1;1
2.30;41.7;0.1;1
2.35;49.4;0.1;1
2.38;53.3;0.1;1
1.61;2.6;0.1;1
1.64;5.3;0.1;1
1.68;8.5;0.1;1
1.71;1.05;0.1;1
1.75;15.8;0.1;1
1.80;20.7;0.1;1
1.85;25.5;0.1;1
1.90;30;0.1;1
1.95;32.2;0.1;1
2.00;32.6;0.1;1
2.05;33;0.1;1
2.10;34.35;0.1;1
2.15;33.0;0.1;1
2.20;30.1;0.1;1
2.25;36;0.1;1
2.30;42.8;0.1;1
2.35;49.2;0.1;1
2.38;54;0.1;1
